mtype	sclass	layer	file
L1_DAC	INH	1	L1_DAC
L1_HAC	INH	1	L1_HAC
L1_LAC	INH	1	L1_LAC
L1_NGC-DA	INH	1	L1_NGC-DA
L1_NGC-SA	INH	1	L1_NGC-SA
L1_SAC	INH	1	L1_SAC
L23_BP	INH	2,3	BP
L23_BTC	INH	2,3	BTC
L23_CHC	INH	2,3	CHC
L23_DBC	INH	2,3	DBC
L23_LBC	INH	2,3	LBC
L23_MC	INH	2,3	MC
L23_NBC	INH	2,3	NBC
L23_NGC	INH	2,3	NGC
L23_SBC	INH	2,3	SBC
L2_IPC	EXC	2	L2_IPC
L2_TPC:A	EXC	2	L2_TPC-A
L2_TPC:B	EXC	2	L2_TPC-B
L3_TPC:A	EXC	3	L3_TPC-A
L3_TPC:B	EXC	3	L3_TPC-B
L4_BP	INH	4	BP
L4_BTC	INH	4	BTC
L4_CHC	INH	4	CHC
L4_DBC	INH	4	DBC
L4_LBC	INH	4	LBC
L4_MC	INH	4	MC
L4_NBC	INH	4	NBC
L4_NGC	INH	4	NGC
L4_SBC	INH	4	SBC
L4_SSC	EXC	4	L4_SSC
L4_TPC	EXC	4	L4_TPC
L4_UPC	EXC	4	L4_UPC
L5_BP	INH	5	BP
L5_BTC	INH	5	BTC
L5_CHC	INH	5	CHC
L5_DBC	INH	5	DBC
L5_LBC	INH	5	LBC
L5_MC	INH	5	MC
L5_NBC	INH	5	NBC
L5_NGC	INH	5	NGC
L5_SBC	INH	5	SBC
L5_TPC:A	EXC	5	L5_TTPC-A
L5_TPC:B	EXC	5	L5_TTPC-B
L5_TPC:C	EXC	5	L5_TPC-C
L5_UPC	EXC	5	L5_UPC
L6_BP	INH	6	BP
L6_BPC	EXC	6	L6_BPC
L6_BTC	INH	6	BTC
L6_CHC	INH	6	CHC
L6_DBC	INH	6	DBC
L6_HPC	EXC	6	L6_HPC
L6_IPC	EXC	6	L6_IPC
L6_LBC	INH	6	LBC
L6_MC	INH	6	MC
L6_NBC	INH	6	NBC
L6_NGC	INH	6	NGC
L6_SBC	INH	6	SBC
L6_TPC:A	EXC	6	L6_TPC-A
L6_TPC:C	EXC	6	L6_TPC-C
L6_UPC	EXC	6	L6_UPC

