region,molecular_type,synapse_class,L1_DAC|bNAC,L1_DAC|cNAC,L1_DLAC|cNAC,L1_HAC|bNAC,L1_HAC|cIR,L1_HAC|cNAC,L1_NGC-DA|bNAC,L1_NGC-DA|cAC,L1_NGC-DA|cNAC,L1_NGC-DA|cSTUT,L1_NGC-SA|cNAC,L1_SLAC|bNAC,L1_SLAC|cAC,L1_SLAC|cNAC
ACA1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
ACAd1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
ACAv1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
AId1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
AIp1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
AIv1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
AUDd1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
AUDp1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
AUDpo1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
AUDv1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
ECT1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
FRP1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
GU1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
ILA1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
MO1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
MOp1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
MOs1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
ORB1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
ORBl1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
ORBm1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
ORBvl1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
PERI1,gad67,INH,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
