region,molecular_type,synapse_class,BP|bAC,BP|bIR,BP|bNAC,BP|cAC,BP|cNAC,BP|dSTUT,BTC|bAC,BTC|bIR,BTC|bNAC,BTC|cAC,BTC|cNAC,ChC|cAC,ChC|cNAC,ChC|dNAC,DBC|bAC,DBC|bIR,DBC|bNAC,DBC|cAC,LBC|bAC,LBC|bNAC,LBC|cAC,LBC|cNAC,LBC|cSTUT,LBC|dNAC,MC|bAC,MC|bNAC,MC|cAC,MC|cNAC,MC|dNAC,NBC|bAC,NBC|bNAC,NBC|cAC,NBC|cIR,NBC|cNAC,NBC|dNAC,NGC|bNAC,NGC|cAC,NGC|cNAC,NGC|cSTUT,SBC|bNAC,SBC|cAC,SBC|dNAC,BTC|bSTUT,BTC|dNAC,DBC|bSTUT,DBC|cIR,DBC|cNAC,LBC|dSTUT,LBC|cIR,MC|bIR,MC|bSTUT,MC|cSTUT,NBC|bIR,NBC|bSTUT,NBC|cSTUT,NBC|dSTUT,LBC|bIR,LBC|bSTUT,MC|cIR,DAC|bNAC,DAC|cNAC,DLAC|cNAC,HAC|bNAC,HAC|cIR,HAC|cNAC,NGC-DA|bNAC,NGC-DA|cAC,NGC-DA|cNAC,NGC-DA|cSTUT,NGC-SA|cNAC,SLAC|bNAC,SLAC|cAC,SLAC|cNAC
ACA1,gad67,INH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0719802212477216,0.063696966415823,0.0241510114954974,0.124139100932994,0.1218320610687022,0.1011423312219154,0.0671755725190839,0.066022052586938,0.0561312327432191,0.0395647230794218,0.0619565805857831,0.0716200169635284,0.0716200169635284,0.0589681121758432
ACA2/3,approx_lamp5,INH,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0,0.0,0.0175707876569812,0.0138254693049213,0.002283105022831,0.0194434468330112,0.0053695247759174,0.0056179775280898,0.0037453183520599,0.0018726591760299,0.0339102377735593,0.0316271327507282,0.0339102377735593,0.0339102377735593,0.024096116536217,0.0109875023040073,0.0623469141503105,0.0155361353863226,0.0030864197530864,0.0030864197530864,0.0673763009328141,0.0605445628276678,0.0634865664494724,0.0320903094875697,0.0091324200913242,0.0228823559591606,0.0,0.0638091274795394,0.0660922325023705,0.0266680538216118,0.0,0.0,0.0,0.0,0.0,0.0418516998348715,0.0441348048577026,0.0030864197530864,0.0092592592592592,0.0,0.0285407129976418,0.0254542932445554,0.0223678734914689,0.0,0.0187265917602996,0.0037453183520599,0.0037453183520599,0.0,0.0187265917602996,0.0205992509363295,0.0018726591760299,0.0,0.0018726591760299,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACA2/3,pv,INH,0.0,0.0,0.0,0.0,0.0042034560130547,0.0042034560130547,0.0138330856426843,0.0123396567299006,0.0096296296296296,0.0123396567299006,0.0237334265815776,0.0096296296296296,0.0111230585424133,0.0126164874551971,0.0288888888888888,0.0288888888888888,0.0288888888888888,0.0288888888888888,0.0222461170848267,0.0192592592592592,0.0222461170848267,0.0637270157647813,0.0753976163417548,0.0724107585161873,0.0192592592592592,0.0219692863595302,0.0219692863595302,0.0454197627997785,0.0736273567036745,0.0111230585424133,0.0096296296296296,0.0111230585424133,0.0111230585424133,0.0429804470087711,0.0475700090334236,0.0,0.0,0.0,0.0,0.002710027100271,0.0,0.0315805577410612,0.002710027100271,0.010840108401084,0.0096296296296296,0.0,0.0138330856426843,0.053151499256928,0.0029868578255675,0.0,0.0,0.0134408602150537,0.0029868578255675,0.0014934289127837,0.0164277180406212,0.017921146953405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACA2/3,sst,INH,0.0,0.0,0.0,0.0,0.0,0.0,0.0101010101010101,0.0,0.0,0.0101010101010101,0.005050505050505,0.0,0.0,0.0,0.0151515151515151,0.0151515151515151,0.0151515151515151,0.0151515151515151,0.0241702741702741,0.0151515151515151,0.014069264069264,0.0241702741702741,0.0191197691197691,0.0039682539682539,0.1208513708513708,0.0494227994227994,0.1208513708513708,0.1107503607503607,0.0209235209235209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151515151515151,0.0151515151515151,0.0151515151515151,0.009018759018759,0.0039682539682539,0.1107503607503607,0.1158008658008658,0.036075036075036,0.0,0.0,0.0,0.0,0.0151515151515151,0.0101010101010101,0.0443722943722943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACA2/3,vip,INH,0.0048518896833503,0.0048518896833503,0.0048518896833503,0.0048518896833503,0.0,0.0,0.0124750230055242,0.0024906600249066,0.0012453300124533,0.0173269126888746,0.0015259136263702,0.014836252663968,0.0099843629806176,0.0048518896833503,0.0352085577959058,0.0339632277834525,0.0352085577959058,0.0352085577959058,0.0531312302129602,0.0186068352016738,0.0449123371626065,0.0265041173280873,0.0008417508417508,0.0,0.0272959875981783,0.0175922082314776,0.0285413176106316,0.0135756345802007,0.0049813200498132,0.0574219526684767,0.0,0.0561766226560234,0.0574219526684767,0.0299530889418529,0.0,0.0002805836139169,0.0002805836139169,0.0,0.0,0.0169233335181721,0.0181686635306254,0.0,0.0,0.0,0.0339632277834525,0.0345243950112863,0.0339632277834525,0.0,0.0485188968335035,0.0111066974362854,0.0111066974362854,0.0,0.051324732972673,0.0561766226560234,0.0048518896833503,0.0,0.0082188930503537,0.0084994766642706,0.0014029180695847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACA5,approx_lamp5,INH,0.0,0.0,0.0,0.0,0.0,0.0,0.0061728395061728,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0,0.0,0.0123456790123456,0.0,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACA5,pv,INH,0.0,0.0,0.0,0.0,0.0,0.0,0.0023238925199709,0.0,0.0,0.0023238925199709,0.0023238925199709,0.0003631082062454,0.0003631082062454,0.0180072028811524,0.0019607843137254,0.0019607843137254,0.0019607843137254,0.0019607843137254,0.006318082788671,0.0055918663761801,0.0,0.076894461488299,0.165114934862834,0.0180072028811524,0.0057371096586782,0.0018155410312273,0.0057371096586782,0.0233812043335852,0.0039215686274509,0.0036310820624546,0.0,0.0036310820624546,0.0036310820624546,0.1271397447868036,0.0,0.0003631082062454,0.0003631082062454,0.0180072028811524,0.0180072028811524,0.0014524328249818,0.0014524328249818,0.0720288115246098,0.0,0.0,0.0019607843137254,0.0026870007262164,0.0019607843137254,0.0,0.0,0.0057371096586782,0.0057371096586782,0.0039215686274509,0.0036310820624546,0.0036310820624546,0.1800720288115246,0.1800720288115246,0.006318082788671,0.0066811909949164,0.0018155410312273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACA5,sst,INH,0.0,0.0,0.0,0.0,0.0,0.0,0.0113028432472876,0.0,0.0,0.0113028432472876,0.0095351664796109,0.0036008230452674,0.0036008230452674,0.0,0.0094696969696969,0.0094696969696969,0.0094696969696969,0.0094696969696969,0.0544472502805836,0.0454779274223718,0.0035353535353535,0.0400439580995136,0.0202721661054994,0.0,0.0616909839132061,0.0339132061354283,0.0616909839132061,0.0545548073325851,0.0101010101010101,0.0360082304526749,0.0,0.0360082304526749,0.0360082304526749,0.0108024691358024,0.0,0.0036008230452674,0.0036008230452674,0.0,0.0,0.0144032921810699,0.0144032921810699,0.0,0.0,0.0,0.0094696969696969,0.0166713430602319,0.0094696969696969,0.0017676767676767,0.0,0.0581556303778526,0.0599233071455293,0.0154040404040404,0.0360082304526749,0.0360082304526749,0.0,0.0,0.0526795735129068,0.0545127197904975,0.0321455293677515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACA5,vip,INH,0.0037453183520599,0.0037453183520599,0.0037453183520599,0.0037453183520599,0.0,0.0,0.0095482498728441,0.0,0.0,0.013293568224904,0.0020576131687242,0.013293568224904,0.0095482498728441,0.0037453183520599,0.0262172284644194,0.0262172284644194,0.0262172284644194,0.0262172284644194,0.0621445415452906,0.0318120867434225,0.0337078651685393,0.0351874971100938,0.0061728395061728,0.0,0.0177787025477412,0.0102880658436213,0.0177787025477412,0.0082304526748971,0.0,0.0617746335599019,0.0,0.0617746335599019,0.0617746335599019,0.0286447496185323,0.0,0.0020576131687242,0.0020576131687242,0.0,0.0,0.0194664077310768,0.0194664077310768,0.0,0.0,0.0,0.0262172284644194,0.030332454801868,0.0262172284644194,0.0,0.0374531835205992,0.0177787025477412,0.0177787025477412,0.0,0.058029315207842,0.0617746335599019,0.0037453183520599,0.0,0.0284366763767512,0.0304942895454755,0.0102880658436213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACA6a,approx_lamp5,INH,0.0,0.0,0.0,0.0,0.0,0.0,0.0061728395061728,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0,0.0,0.0123456790123456,0.0,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
